VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
9552,M S WALKER INC,20772,Dutton Goldfield Chard Dutto,25.99,38.99,750.0,14,363.86,19.0,740.8100000000001,194.95000000000002,2.13,55551.82,376.95000000000005,50.88349239346122,1.3571428571428572,2.0359753751442864,25.990000000000002,Medium,-129.95
9165,ULTRA BEVERAGE COMPANY LLP,10625,Querceto Il Sole Alessandro,45.26,66.99,750.0,8,362.08,14.0,937.8599999999999,669.9,1.55,68054.7,575.78,61.39295843729342,1.75,2.590201060539107,45.26,Small,-271.56
7153,PINE STATE TRADING CO,3441,One Roq RSV Vodka,18.04,23.99,750.0,20,360.8,22.0,527.78,263.89,17.35,15884.82,166.97999999999996,31.63818257607336,1.1,1.4628048780487803,18.04,Medium,-36.08
10754,PERFECTA WINES,21461,Ch Rayne Vigneau Sauternes,39.99,57.99,750.0,9,359.91,11.0,637.89,579.9,1.21,28720.52,277.97999999999996,43.578046371631466,1.2222222222222223,1.772359756605818,39.99,Small,-79.98
4950,LATITUDE BEVERAGE COMPANY,20969,Ninety Cellars Lot 105 Chard,8.72,12.99,750.0,41,357.52,32.0,415.68,246.81,3.56,1610.0,58.160000000000025,13.991531947652044,0.7804878048780488,1.1626762139181026,8.719999999999999,Large,78.48
9552,M S WALKER INC,22828,Beaux Freres Vyds Pnt Nr,59.2,89.99,750.0,6,355.20000000000005,7.0,629.93,359.96,0.78,55551.82,274.7299999999999,43.61278237264457,1.1666666666666667,1.7734515765765761,59.20000000000001,Small,-59.2
90024,VINILANDIA USA,20213,Casa Ferreirinha Papas Figos,9.86,14.99,750.0,36,354.96,28.0,419.72,284.81,3.11,2802.64,64.76000000000005,15.429333841608702,0.7777777777777778,1.1824430921794007,9.86,Medium,78.88
660,SAZERAC NORTH AMERICA INC.,4816,Very Old Barton,9.77,12.99,750.0,36,351.72,36.0,467.64,12.99,28.35,17932.33,115.91999999999996,24.78829869130099,1.0,1.329580348004094,9.770000000000001,Medium,0.0
7749,R.P.IMPORTS INC,20224,Tommaso Bussola Amarone Clsc,38.95,59.99,750.0,9,350.55,6.0,359.94,59.99,0.68,91.5,9.389999999999986,2.608768128021333,0.6666666666666666,1.0267864783910996,38.95,Small,116.85000000000001
7749,R.P.IMPORTS INC,19617,Ch Suduiraut Sauternes 10,86.89,125.99,750.0,4,347.56,6.0,755.9399999999999,629.9499999999999,0.66,91.5,408.37999999999994,54.02280604280762,1.5,2.174991368396823,86.89,Small,-173.78
516,BANFI PRODUCTS CORP,19275,Stones Currant Ginger Flavor,7.14,10.99,750.0,48,342.72,33.0,362.67,142.87,3.69,8510.41,19.94999999999999,5.500868558193395,0.6875,1.0582107843137254,7.140000000000001,Large,107.1
1392,CONSTELLATION BRANDS INC,21633,Wild Horse Pnt Nr CC,7.09,10.99,375.0,48,340.32,33.0,362.67,109.9,1.86,79528.99,22.350000000000023,6.162627181735468,0.6875,1.065673483779972,7.09,Large,106.35
10754,PERFECTA WINES,17413,Ch Leoville Barton 10 St Jul,84.96,165.99,750.0,4,339.84,8.0,1039.92,649.95,0.89,28720.52,700.0800000000002,67.32056312024002,2.0,3.060028248587571,84.96,Small,-339.84
4425,MARTIGNETTI COMPANIES,25203,Aveleda Follies,8.9,12.99,750.0,38,338.2,45.0,584.55,480.63,4.98,144929.24,246.34999999999997,42.14352921050381,1.1842105263157894,1.728415138971023,8.9,Large,-62.300000000000004
10754,PERFECTA WINES,17159,Quattro Mani Montepulciano,9.39,13.99,750.0,36,338.04,26.0,363.74,181.87,2.88,28720.52,25.69999999999999,7.065486336394125,0.7222222222222222,1.0760265057389657,9.39,Medium,93.9
90024,VINILANDIA USA,20038,Torii Mor Pnt Nr Deux Verres,23.8,34.99,750.0,14,333.2,15.0,524.85,104.97,1.6900000000000002,2802.64,191.65000000000003,36.51519481756693,1.0714285714285714,1.5751800720288116,23.8,Medium,-23.8
653,STATE WINE & SPIRITS,17093,Guidobono Barbera D'Alba,9.2,13.99,750.0,36,331.2,24.0,335.76,27.98,2.7,8014.9800000000005,4.560000000000002,1.3581129378127241,0.6666666666666666,1.013768115942029,9.2,Medium,110.39999999999999
