VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio
12546,JIM BEAM BRANDS COMPANY,3351,Pinnacle Whipped Vodka,13.27,16.99,1750.0,19227,255142.29,5897.0,96473.03,48640.27,10835.119999999999,123880.97,-158669.26,-164.47007002889825,0.30670411400634523,0.37811461988524125
3664,WILLIAM GRANT & SONS INC,8021,Glenfiddich Special Rsv 12,31.49,39.99,750.0,8081,254470.69,2632.0,113594.68000000001,70542.67,2073.81,30234.420000000002,-140876.01,-124.0163799924433,0.3257022645712164,0.44639592874134154
9165,ULTRA BEVERAGE COMPANY LLP,3788,Patron Silver Tequila,19.99,27.99,375.0,12664,253153.36,4542.0,120202.58,61284.96,1784.04,68054.7,-132950.77999999997,-110.60559598637565,0.35865445356917247,0.4748211913916529
11567,CAMPARI AMERICA,8107,Wild Turkey 101,26.71,36.99,1750.0,9472,252997.12,2609.0,92213.91,60782.8,4795.36,20964.81,-160783.21,-174.358955172815,0.27544341216216217,0.36448600679723153
8112,MOET HENNESSY USA INC,2692,Glenmorangie 10 Yr Scotch,26.31,41.99,750.0,9588,252260.28,3824.0,133801.76,74318.76000000001,3012.02,48347.26,-118458.51999999999,-88.53285636900439,0.39883187317480184,0.5304115257463442
1128,BROWN-FORMAN CORP,1237,Jack Daniels Single Barrel,33.83,44.99,750.0,7418,250950.94,2210.0,99427.90000000001,60106.64,1741.44,68601.68,-151523.03999999998,-152.39489117239725,0.29792396872472365,0.39620453304538333
480,BACARDI USA INC,3851,Grey Goose Vodka,12.02,15.99,375.0,20841,250508.82,4666.0,74609.34,37560.51,1832.49,89286.27,-175899.48,-235.76067017882752,0.22388561009548485,0.2978311901353413
3664,WILLIAM GRANT & SONS INC,8480,Clan MacGregor,11.19,14.99,1750.0,22379,250421.01,6074.0,93585.26,34859.81,11160.619999999999,30234.420000000002,-156835.75,-167.5859531725402,0.2714151660038429,0.3737116945578967
17035,PERNOD RICARD USA,2645,Chivas Regal,21.89,31.99,750.0,11427,250137.03,3941.0,119462.59,56403.469999999994,3104.35,123780.22,-130674.44,-109.3852393456395,0.34488492167673057,0.4775885841452583
3089,SIDNEY FRANK IMPORTING CO,812,Jagermeister Liqueur,17.03,22.99,1000.0,14663,249710.89,5192.0,107604.08,46167.78999999999,5451.6,8549.55,-142106.81,-132.06451837142234,0.35408852213053266,0.4309146469343007
